Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
SPIE,SPIE SA,52,EUR,Servizi commerciali,10374563776.4444,USD,
PHNX,Phoenix Group Holdings plc,768,GBX,Finanza,10357593914.796,USD,
SGE,Sage Group plc,810.4,GBX,Servizi tecnologici,10334391819.326399,USD,
LPP,LPP S.A.,20360,PLN,Vendita al dettaglio,10328480421.37875,USD,
FHZN,Flughafen Zurich AG,264,CHF,Trasporti,10313319215.1618,USD,
MNG,M&G Plc,323.8,GBX,Finanza,10308615194.6988,USD,
BARN,Barry Callebaut AG,1424,CHF,Beni di consumo non durevoli,10259058301.4382,USD,
DPLM,Diploma PLC,5655,GBX,Servizi di distribuzione,10182795109.761599,USD,
RED,Redeia Corporacion SA,15.94,EUR,Utenze,10159413465.575401,USD,
MICC,Magnum Ice Cream Co. N.V.,13.858,EUR,Beni di consumo non durevoli,10158403272.38575,USD,
AYV,Ayvens,11.16,EUR,Finanza,10143942500.120901,USD,
KGX,KION GROUP AG,64.85,EUR,Filiera di fabbricazione,10125609696.62335,USD,
VOE,voestalpine AG,47.94,EUR,Minerali non energetici,10090492724.706999,USD,
QIA,QIAGEN NV,40.98,EUR,Tecnologia sanitaria,10044276085,USD,
BKW,BKW AG,146.7,CHF,Utenze,10038670152.141,USD,
LOTB,Lotus Bakeries NV,10320,EUR,Beni di consumo non durevoli,9959110366.2469,USD,
TREL_B,Trelleborg AB Class B,399.9,SEK,Filiera di fabbricazione,9925430898.941599,USD,
RAA,Rational Aktiengesellschaft,737.5,EUR,Filiera di fabbricazione,9925271418.365751,USD,
SECU_B,Securitas AB Class B,157.2,SEK,Servizi commerciali,9913624866.933899,USD,
KESKOB,Kesko Oyj Class B,21.22,EUR,Vendita al dettaglio,9799862410.730701,USD,
ADDT_B,Addtech AB Class B,324.4,SEK,Tecnologia elettronica,9676756654.3396,USD,
BEZ,Beazley Plc,1222,GBX,Finanza,9676042425.264,USD,
IMI,IMI plc,2896,GBX,Filiera di fabbricazione,9635657041.7664,USD,
SYENS,Syensqo SA/NV,77.94,EUR,Industrie di trasformazione,9541762306.480751,USD,
BAB,Babcock International Group PLC,1402,GBX,Filiera di fabbricazione,9532988697.8772,USD,
NDX1,Nordex SE,33.68,EUR,Filiera di fabbricazione,9465140776.4576,USD,
CPR,Davide Campari-Milano N.V.,6.62,EUR,Beni di consumo non durevoli,9441363902.32925,USD,
ITRK,Intertek Group plc,4572,GBX,Servizi commerciali,9405068433.591599,USD,
AVOL,Avolta AG,52,CHF,Vendita al dettaglio,9369503506.329,USD,
INW,Infrastrutture Wireless Italiane S.p.A.,8.75,EUR,Comunicazione,9351395851.56545,USD,
SCA_B,Svenska Cellulosa AB SCA Class B,121.3,SEK,Industrie di trasformazione,9346719089.8956,USD,
KCR,Konecranes Oyj,100.9,EUR,Filiera di fabbricazione,9341078798.31455,USD,
PSPN,PSP Swiss Property AG,158.3,CHF,Finanza,9288478597.7268,USD,
JYSK,Jyske Bank A/S,964.5,DKK,Finanza,9272326934.8424,USD,
BNZL,Bunzl plc,2144,GBX,Servizi di distribuzione,9268338618.372,USD,
INDT,Indutrade AB,229.6,SEK,Filiera di fabbricazione,9225007816.2074,USD,
NEM,Nemetschek SE,66.85,EUR,Servizi tecnologici,9197978582.6632,USD,
BNR,Brenntag SE,54.35,EUR,Servizi di distribuzione,9195238202.7532,USD,
MRL,"MERLIN Properties SOCIMI, S.A.",13.76,EUR,Finanza,9163030883.5733,USD,
STJ,St. James's Place Plc,1301,GBX,Finanza,9037276529.5896,USD,
FRA,Fraport AG,83.4,EUR,Trasporti,9033853766.386301,USD,
ACLN,Accelleron Industries AG,73.2,CHF,Filiera di fabbricazione,9027588954.7782,USD,
VAR,Var Energi ASA,34.52,NOK,Minerali energetici,8996195217.08856,USD,
INPST,InPost S.A.,15.22,EUR,Servizi tecnologici,8941399680.24165,USD,
NIBE_B,NIBE Industrier AB Class B,39.87,SEK,Filiera di fabbricazione,8878137941.827,USD,
A2A,A2A S.p.A.,2.433,EUR,Utenze,8839272071.8635,USD,
NDA,Aurubis AG,173.9,EUR,Minerali non energetici,8712668805.4385,USD,
ANDR,ANDRITZ AG,73.05,EUR,Filiera di fabbricazione,8641900148.244951,USD,
BALD_B,Fastighets AB Balder Class B,65.72,SEK,Finanza,8623699496.1859,USD,
SSAB_B,SSAB AB Class B,77.96,SEK,Filiera di fabbricazione,8469111847.077,USD,
SALM,SalMar ASA,578.5,NOK,Industrie di trasformazione,8428367757.212131,USD,
SB1NO,SPAREBANK 1 SOR-NORGE ASA,212.5,NOK,Finanza,8388816070.97079,USD,
EVK,Evonik Industries AG,15.2,EUR,Industrie di trasformazione,8366322485.94865,USD,
STB,Storebrand ASA,182.1,NOK,Finanza,8302592471.475511,USD,
TKA,thyssenkrupp AG,11.35,EUR,Minerali non energetici,8301787957.440351,USD,
