Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
VTY,Vistry Group PLC,718.4,GBX,Beni di consumo durevoli,3073449061.6907997,USD,
SDF,K+S AG,14.64,EUR,Industrie di trasformazione,3057227115.3183503,USD,
NOD,Nordic Semiconductor ASA,141.3,NOK,Tecnologia elettronica,3022795808.3345103,USD,
SCT,Softcat Plc,1111,GBX,Servizi tecnologici,2996931484.7028,USD,
ARCAD,Arcadis NV,29.44,EUR,Servizi industriali,2957859253.9922,USD,
HPOL_B,Hexpol AB Class B,77.65,SEK,Industrie di trasformazione,2933654535.917,USD,
BAKKA,Bakkafrost P/F,457,NOK,Beni di consumo non durevoli,2925981683.86953,USD,
SOP,Sopra Steria Group SA,120.1,EUR,Servizi tecnologici,2898142555.33715,USD,
LIGHT,Signify NV,20.42,EUR,Filiera di fabbricazione,2876325349.71305,USD,
BYG,Big Yellow Group PLC,1050,GBX,Finanza,2777753571.72,USD,
THULE,Thule Group AB,233,SEK,Beni di consumo durevoli,2747157885.9158,USD,
DLN,Derwent London plc,1777,GBX,Finanza,2710199556.132,USD,
AZE,Azelis Group N.V.,8.785,EUR,Servizi di distribuzione,2550116402.5181003,USD,
GFTU,Grafton Group Plc,984.7,GBX,Vendita al dettaglio,2546121165.1415997,USD,
TCAP,TP ICAP Group plc,264.5,GBX,Finanza,2535577278.612,USD,
BME,B&M European Value Retail SA,187.6602,GBX,Vendita al dettaglio,2519841768.4728,USD,
BAVA,Bavarian Nordic A/S,195.8,DKK,Tecnologia sanitaria,2454549260.3775,USD,
ATE,Alten SA,59.7,EUR,Servizi industriali,2451117405.13965,USD,
TECN,Tecan Group AG,138,CHF,Tecnologia sanitaria,2278425395.235,USD,
GRG,Greggs plc,1599.27,GBX,Beni di consumo non durevoli,2187150443.2092,USD,
KINV_B,Kinnevik AB Class B,64.54,SEK,Finanza,1972303376.2747,USD,
